驾车记录	汽车型号	使用汽车的方式	所住的地区	受保的项目	司机的驾龄	保险方式
过去3年内违规小于3次	一般国产车	商务车	郊区	全保	≤5年	首次参保
过去3年内违规小于3次	高档进口车(≥100万)	出租车	城市中心地带	自由组合	≤10年	连续受保(≥3次)
过去3年内违规3次或3次以上	进口车	私家车	农村	最基本保险	≤3年	第二次参保
过去5年内没有违规	高档国产车(≥20万)	出租车	市区	最基本保险	≤5年	连续受保(≥3次)
过去3年内违规小于3次	进口车	商务车	市区	自由组合	>10年	第二次参保
过去3年内没有违规	高档国产车(≥20万)	私家车	城市中心地带	全保	≤5年	第二次参保
过去3年内违规3次或3次以上	高档国产车(≥20万)	商务车	农村	自由组合	≤10年	首次参保
过去3年内违规3次或3次以上	高档进口车(≥100万)	出租车	郊区	全保	>10年	连续受保(≥3次)
过去1年内违规3次或3次以上	高档进口车(≥100万)	商务车	城市中心地带	最基本保险	≤1年	首次参保
过去1年内违规3次或3次以上	一般国产车	私家车	郊区	全保	≤10年	第二次参保
过去5年内没有违规	高档进口车(≥100万)	私家车	市区	全保	≤3年	首次参保
过去5年内没有违规	进口车	出租车	郊区	自由组合	≤1年	第二次参保
过去1年内违规3次或3次以上	一般国产车	出租车	农村	自由组合	≤5年	连续受保(≥3次)
过去5年内没有违规	一般国产车	私家车	城市中心地带	最基本保险	>10年	首次参保
过去3年内没有违规	进口车	商务车	市区	最基本保险	≤10年	连续受保(≥3次)
过去3年内违规3次或3次以上	进口车	出租车	城市中心地带	全保	≤5年	首次参保
过去1年内违规3次或3次以上	高档国产车(≥20万)	私家车	市区	自由组合	≤3年	连续受保(≥3次)
过去1年内违规3次或3次以上	高档进口车(≥100万)	商务车	农村	最基本保险	>10年	第二次参保
过去3年内没有违规	一般国产车	出租车	农村	全保	≤1年	连续受保(≥3次)
过去3年内违规小于3次	高档国产车(≥20万)	私家车	郊区	最基本保险	≤1年	第二次参保
过去3年内没有违规	高档进口车(≥100万)	商务车	郊区	自由组合	≤3年	首次参保
过去3年内没有违规	一般国产车	出租车	市区	全保	>10年	首次参保
过去5年内没有违规	高档进口车(≥100万)	商务车	农村	最基本保险	≤5年	第二次参保
过去3年内违规3次或3次以上	一般国产车	私家车	市区	全保	≤1年	第二次参保
过去3年内违规小于3次	高档国产车(≥20万)	私家车	农村	最基本保险	>10年	第二次参保
过去5年内没有违规	进口车	私家车	城市中心地带	全保	≤10年	第二次参保
过去3年内违规小于3次	一般国产车	出租车	城市中心地带	全保	≤3年	第二次参保
过去1年内违规3次或3次以上	进口车	私家车	市区	最基本保险	≤5年	连续受保(≥3次)
